0,1,2,3,4,5,6
番号,基準点コード,局名称,県名,施設名,受信機名,アンテナ名
20965,EL05540123302,大子,茨城県,大子町立依上小学校,TOPCON NETG5,TRM59800.80 GSI
20966,EL05537300202,氷見,富山県,氷見市立灘浦中学校,TOPCON NETG5,TRM59800.80 GSI
20967,EL05537243402,宇奈月,富山県,中ノ口緑地運動公園,TOPCON NETG5,TRM59800.80 GSI
20968,EL05537110201,新湊,富山県,射水市立東明小学校,TRIMBLE ALLOY,TRM59800.80 GSI
20969,EL05436761403,福光,富山県,南砺市立福光西部小学校,TRIMBLE NETR9,TRM59800.80 GSI
20970,EL05437516901,細入,富山県,細入村大沢野町学校組合立猪谷小学校跡地（現：富山市）,TOPCON NETG5,TRM59800.80 GSI
20971,EL05637101202,輪島２,石川県,輪島市立南志見小学校,TOPCON NETG5,TRM59800.80 GSI
20972,EL05536677201,穴水,石川県,旧穴水町立真名井幼稚園（H21.3.31廃園）,TRIMBLE ALLOY,TRM59800.80 GSI
20973,EL05436644301,松任,石川県,白山市立北星体育館,TOPCON NETG5,TRM59800.80 GSI
20974,EL05436227802,山中,石川県,加賀市立菅谷小学校,TRIMBLE NETR9,TRM59800.80 GSI
20975,EL05436103302,福井,福井県,福井市立長橋小学校,TRIMBLE ALLOY,TRM59800.80 GSI
20976,EL05336658202,和泉,福井県,大野市立和泉小中学校,TOPCON NETG5,TRM59800.80 GSI
20977,EL05336626702,福井池田,福井県,池田町Ｂ＆Ｇ海洋センター,TRIMBLE NETR9,TRM59800.80 GSI
20978,EL05335168002,福井小浜,福井県,小浜市立今富小学校,TOPCON NETG5,TRM59800.80 GSI
20979,EL05338638502,山梨高根,山梨県,北杜市立高根清里小学校(外来者用駐車場),TOPCON NETG5,TRM59800.80 GSI
20980,EL05338570501,小菅,山梨県,多摩源流小菅の湯(駐車場内工場裏手西奥),NETR9,TRM59800.80 GSI
20981,EL05338146802,上九一色,山梨県,富士河口湖町立上九一色中学校,TRIMBLE ALLOY,TRM59800.80 GSI
20982,EL05538242901,長野栄,長野県,栄村立秋山小学校,TOPCON NETG5,TRM59800.80 GSI
20983,EL05538004702,戸隠,長野県,戸隠運動場横旧村有地,TRIMBLE ALLOY,TRM59800.80 GSI
20984,EL05438602901,更埴,長野県,千曲市立埴生中学校,TRIMBLE ALLOY,TRM159900.00 GSI
20985,EL05438321901,望月,長野県,佐久市望月総合体育館,TOPCON NETG5,TRM59800.80 GSI
20986,EL05337763201,木祖,長野県,こもれび公園,TRIMBLE ALLOY,TRM59800.80 GSI
20987,EL05338605702,高遠,長野県,高遠町立高遠北小学校,TOPCON NETG5,TRM59800.80 GSI
20988,EL05337537602,王滝,長野県,王滝村釣りキチ渓谷（駐車場）,TOPCON NETG5,TRM59800.80 GSI
20989,EL05337349902,大桑,長野県,木曽ふれあいの郷フォレスパ木曽,TRIMBLE NETR9,TRM59800.80 GSI
20990,EL05437106601,清見,岐阜県,飛騨プラネタリウム,TRIMBLE ALLOY,TRM59800.80 GSI
20991,EL05336466202,板取,岐阜県,２１世紀の森,TRIMBLE NETR9,TPSCR.G5 GSI
20992,EL05337222402,恵那,岐阜県,恵那市立中野方小学校,TOPCON NETG5,TRM59800.80 GSI
20993,EL05336147303,揖斐川,岐阜県,揖斐川町立小島小学校,TRIMBLE NETR9,TPSCR.G5 GSI
20994,EL05237726002,土岐,岐阜県,土岐市立曽木公民館,TOPCON NETG5,TRM59800.80 GSI
20995,EL05237542602,設楽,愛知県,設楽町立田口小学校,TRIMBLE ALLOY,TRM59800.80 GSI
20996,EL05237310201,岡崎,愛知県,岡崎市立岡崎小学校,JAVAD DELTA-G3T,TPSCR.G5 GSI
20997,EL05237124703,豊橋２,愛知県,豊橋市立前芝中学校,TOPCON NETG5,TPSCR.G5 GSI
20998,EL05236078501,南知多,愛知県,深田池管理用地,TOPCON NETG5,TPSCR.G5 GSI
20999,EL05136530702,大台,三重県,大台町中央公民館,TOPCON NETG5,TRM59800.80 GSI
21000,EL05035675403,紀和,三重県,熊野市立入鹿小学校,TRIMBLE ALLOY,TRM59800.80 GSI
21001,EL05335100702,福知山２,京都府,福知山市北陵総合センター,TOPCON NETG5,TRM59800.80 GSI
21002,EL05335020701,綾部,京都府,綾部市東部グラウンド,TOPCON NETG5,TRM59800.80 GSI
21003,EL05235558003,京北,京都府,右京区役所京北出張所　第二駐車場,TOPCON NETG5,TRM59800.80 GSI
21004,EL05135319706,阪南,大阪府,阪南市立桃の木台小学校,TOPCON NETG5,TRM59800.80 GSI
21005,EL05334233801,温泉,兵庫県,,5700,TRM29659.00
21006,EL05234131003,赤穂,兵庫県,赤穂市立塩屋小学校,TOPCON NETG5,TRM59800.80 GSI
21007,EL05236005302,月ヶ瀬,奈良県,月ヶ瀬村花ふるさとスポーツ公園,TOPCON NETG5,TRM59800.80 GSI
21008,EL05136519302,御杖,奈良県,御杖村立御杖中学校,TRIMBLE NETR9,TPSCR.G5 GSI
21009,EL05136305001,奈良川上,奈良県,川上武道場,TRIMBLE NETR9,TPSCR.G5 GSI
21010,EL05135269803,天川,奈良県,天川村役場,TOPCON NETG5,TRM59800.80 GSI
21011,EL05035742401,龍神,和歌山県,田辺市立龍神中学校,TRIMBLE NETR9,TPSCR.G5 GSI
21012,EL05035470001,那智勝浦２,和歌山県,那智高原公園,TOPCON NETG5,TPSCR.G5 GSI
21013,EL05035349201,日置川,和歌山県,川添山村活性化支援センター,TRIMBLE NETR9,TPSCR.G5 GSI
